_id,schoolId,name,profilePictureUrl,rollNo,email,mobileNumber,address,DOB,specialization,roles,isTeacher
596393970148403c09542014,596393970148403c09541001,Mahesh,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,63,mahesh@gmail.com,123469,"chennai,india",01-02-86,English,1400,TRUE
596393970148403c09542015,596393970148403c09541001,Sriram,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,64,sriram@gmail.com,123470,"chennai,india",02-03-86,Science,1400,TRUE
596393970148403c09542016,596393970148403c09541001,Uma,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,65,uma@gmail.com,123471,"chennai,india",02-04-86,Tamil,1400,FALSE
596393970148403c09542017,596393970148403c09541001,KrishnaVaeni,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,66,krishnaveni@gmail.com,123472,"chennai,india",02-07-86,Social Science,1400,FALSE
596393970148403c09542018,596393970148403c09541001,Lakshmi,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,67,lakshmi@gmail.com,123473,"chennai,india",2/25/1986,Hindi,1400,FALSE
596393970148403c09542019,596393970148403c09541001,Vetri,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,68,vetri@gmail.com,123474,"chennai,india",03-11-86,Mathematics,1400,FALSE
596393970148403c09542020,596393970148403c09541001,Muthu,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,69,muthu@gmail.com,123475,"chennai,india",3/25/1986,English,1400,FALSE
596393970148403c09542021,596393970148403c09541002,Vel,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,70,vel@gmail.com,123476,"chennai,india",3/22/1986,Science,1800/1600/1400,TRUE
596393970148403c09542022,596393970148403c09541002,Dhilip,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,71,dhilip@gmail.com,123477,"chennai,india",4/21/1986,Tamil,1400,TRUE
596393970148403c09542023,596393970148403c09541002,Riya,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,72,riya@gmail.com,123478,"chennai,india",04-11-86,Social Science,1400,TRUE
596393970148403c09542024,596393970148403c09541002,Pragadesh,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,73,pragadesh@gmail.com,123479,"chennai,india",05-01-86,Hindi,1400,TRUE
596393970148403c09542025,596393970148403c09541002,Indhu,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,74,indhu@gmail.com,123480,"chennai,india",5/13/1986,Mathematics,1400,TRUE
596393970148403c09542026,596393970148403c09541002,Vinitha,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,75,vinitha@gmail.com,123481,"chennai,india",5/14/1986,English,1400,TRUE
596393970148403c09542027,596393970148403c09541002,Sunganya,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,76,suganya@gmail.com,123482,"chennai,india",5/15/1986,Science,1400,TRUE
596393970148403c09542028,596393970148403c09541002,Vidhya,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,77,vidhya@gmail.com,123483,"chennai,india",5/16/1986,Tamil,1400,TRUE
596393970148403c09542029,596393970148403c09541002,Sathya,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,78,sathya@gmail.com,123484,"chennai,india",06-11-86,Social Science,1400,TRUE
596393970148403c09542030,596393970148403c09541002,Asha,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,79,asha@gmail.com,123485,"chennai,india",06-12-86,Hindi,1400,TRUE
596393970148403c09542031,596393970148403c09541002,Abi,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,80,abi@gmail.com,123486,"chennai,india",6/13/1986,Mathematics,1400,TRUE
596393970148403c09542032,596393970148403c09541002,Aruna,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,81,aruna@gmail.com,123487,"chennai,india",6/14/1986,English,1400,TRUE
596393970148403c09542033,596393970148403c09541002,Sindhu,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,82,sindhu@gmail.com,123488,"chennai,india",6/15/1986,Science,1400,TRUE
596393970148403c09542034,596393970148403c09541002,Priyanka,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,83,priyanka@gmail.com,123489,"chennai,india",6/16/1986,Tamil,1400,TRUE
596393970148403c09542035,596393970148403c09541002,Tamila,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,84,thaila@gmail.com,123490,"chennai,india",6/15/1986,Social Science,1400,TRUE
596393970148403c09542036,596393970148403c09541002,Anushiya,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,85,anushiya@gmail.com,123491,"chennai,india",07-12-86,Hindi,1400,TRUE
596393970148403c09542037,596393970148403c09541002,Somu,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,86,somu@gmail.com,123492,"chennai,india",7/13/1986,Mathematics,1400,TRUE
596393970148403c09542038,596393970148403c09541002,Tamila,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,87,tamil@gmail.com,123493,"chennai,india",7/14/1986,English,1400,TRUE
596393970148403c09542039,596393970148403c09541002,Prasveen,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,88,praveen@gmail.com,123494,"chennai,india",7/13/1988,Science,1400,TRUE
596393970148403c09542040,596393970148403c09541002,Subha,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,89,subash@gmail.com,123495,"chennai,india",7/14/1988,Tamil,1400,FALSE
596393970148403c09542041,596393970148403c09541002,Sharmila,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,90,sharmila@gamil.com,123496,"chennai,india",7/15/1988,Social Science,1400,FALSE
596393970148403c09542042,596393970148403c09541002,Magi,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,91,magi@gamil.com,123497,"chennai,india",8/16/1988,Hindi,1400,FALSE
596393970148403c09542043,596393970148403c09541002,Viji,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher1.png,92,viji@gamil.com,123498,"chennai,india",8/17/1988,Science,1400,FALSE
596393970148403c09542044,596393970148403c09541002,Manisha,https://s3.ap-south-1.amazonaws.com/letzlap/lap_images/profilepic/teacher2.jpg,93,manisha@gamil.com,123499,"chennai,india",8/18/1988,Tamil,1400,FALSE
